id,name,CATUTTC,addressPostCode,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,addressThoroughfare,addressLocatorDesignator,addressLocatorBuilding,addressLocatorName,contactPointName,contactPointEmail,contactPointTelephone,contactPointUrl
00309252,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ШВЕЙНА ФАБРИКА «ВОРОНІН»,UA80000000000093317,01033,Україна,місто Київ,null,null,Київ,вул. Короленківська,3,null,null,null,null,"+380442021717, +380442021718",null
00333581,ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО «КИЇВСЬКИЙ МАРГАРИНОВИЙ ЗАВОД»,UA80000000000093317,03039,Україна,місто Київ,null,null,Київ,просп. Науки,3,null,null,null,olkom@olkom.ua,"+380445250177, +380445612740",null
00382125,ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО «КИЇВСЬКА КОНДИТЕРСЬКА ФАБРИКА «РОШЕН»,UA80000000000093317,03039,Україна,місто Київ,null,null,Київ,просп. Науки,1,null,null,null,kcf-lawyer@roshen.com; oleksandr.kundel@roshen.com,+380442337100,null
00480862,АКЦІОНЕРНЕ ТОВАРИСТВО «КИЇВМЕДПРЕПАРАТ»,UA80000000000093317,01032,Україна,місто Київ,null,null,Київ,вул. Саксаганського,139,null,null,null,office@kievmedprepar,+380444907522,null
00481198,АКЦІОНЕРНЕ ТОВАРИСТВО «ФАРМАК»,UA80000000000093317,04080,Україна,місто Київ,null,null,Київ,вул. Кирилівська,63,null,null,null,a.kot@farmak.ua,+380444171055,null
00481212,ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО «ФАРМАЦЕВТИЧНА ФІРМА «ДАРНИЦЯ»,UA80000000000093317,02093,Україна,місто Київ,null,null,Київ,вул. Бориспільська,13,null,null,null,m.kaitan@darnitsa.ua;info@darnitsa.ua,"+380445666878, +380442077315",null
01130578,ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО «КИЙ АВІА»,UA80000000000093317,01054,Україна,місто Київ,null,null,Київ,вул. Дмитрівська,1,null,null,null,gorodnycha@kiyavia.com; head_office@kiyavia.com,"+380444904948, +380444904923, +380444904988",null
01181765,ДЕРЖАВНЕ ПІДПРИЄМСТВО «УКРАЇНСЬКИЙ ДЕРЖАВНИЙ ЦЕНТР РАДІОЧАСТОТ»,UA80000000000093317,03179,Україна,місто Київ,null,null,Київ,просп. Перемоги,151,null,null,null,null,+380504735650,null
01198760,ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО «ЕНРАН»,UA80000000000093317,03057,Україна,місто Київ,null,null,Київ,вул. Олександра Довженка,14,null,ОФІС 3,null,enran@enran.com.ua,"+380444501216, +380442419731, +380445004978",null
01267886,ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО «ЕСМА»,UA80000000000093317,03115,Україна,місто Київ,null,null,Київ,вул. Краснова,27,null,null,null,avramenko.n@asnova.com,null,null
01268348,ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО «АВТОБАЗА №1»,UA80000000000093317,03134,Україна,місто Київ,null,null,Київ,вул. Пшенична,9,null,null,null,s-renkas@avtek.ua,+380444033581,null
01284821,АКЦІОНЕРНЕ ТОВАРИСТВО «КИЇВСЬКИЙ ЕКСПЕРИМЕНТАЛЬНИЙ МЕХАНІЧНИЙ ЗАВОД «ЗВАРКА»,UA80000000000093317,04073,Україна,місто Київ,null,null,Київ,просп. Степана Бандери,23,null,null,null,null,"+380445313913, +380444183437, +380444360488",null
01287185,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ФІРМА «ІНОР»,UA80000000000093317,01033,Україна,місто Київ,null,null,Київ,вул. Володимирська,101,КОРПУС 2,null,null,null,+380442466818,null
01293234,ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО «УНІВЕРСАМ №28 «ВИГУРІВЩИНА»,UA80000000000093317,02232,Україна,місто Київ,null,null,Київ,вул. Закревського,61/2,null,null,null,vigur28@ukr.net,"+380445302711, +380445302705, +380445302707",null
01527732,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ПЕЧЕРСЬКИЙ РИНОК»,UA80000000000093317,01011,Україна,місто Київ,null,null,Київ,Печерська Площа,1,null,null,null,null,+380442802740,null
01549366,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ХРЕЩАТИК ПЛАЗА»,UA80000000000093317,01001,Україна,місто Київ,null,null,Київ,вул. Хрещатик,19,null,null,null,hom2003@ukr.net,+380444962650,null
01553988,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «АК «ПЕРЛИНА»,UA80000000000093317,02140,Україна,місто Київ,null,null,Київ,вул. Бориса Гмирі,1,null,null,null,fin11956@i.ua,"+380445949579, +380445730322, +380445727472",null
01564466,ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО «МАГАЗИН «КИЯНКА»,UA80000000000093317,01023,Україна,місто Київ,null,null,Київ,вул. Мечнікова,9,null,null,null,null,"+380442800678, +380442805798, +380442803050",null
01564897,ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО «УНІВЕРМАГ «УКРАЇНА»,UA80000000000093317,01135,Україна,місто Київ,null,null,Київ,Площа Галицька,3,null,null,null,ukraina.ua; info@ukraina.ua,"+380444961600, +380444961608",null
01565112,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ТОРГОВИЙ КОМПЛЕКС «БОРЩАГІВСЬКИЙ»,UA80000000000093317,03170,Україна,місто Київ,null,null,Київ,вул. Зодчих,58-А,null,null,null,null,+380442741308,null
01981715,ДЕРЖАВНЕ ПІДПРИЄМСТВО «САНАТОРІЙ «КОНЧА-ЗАСПА»,UA80000000000093317,03084,Україна,місто Київ,null,null,Київ,шосе Столичне,215,null,null,null,"sanator.lm@ukr.net, konchapr@ukr.net","+380442592415, +380442592416",null
02011976,ДЕРЖАВНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО «НАЦІОНАЛЬНИЙ ІНСТИТУТ РАКУ»,UA80000000000093317,03022,Україна,місто Київ,null,null,Київ,вул. Юлії Здановської,33/43,null,null,null,info@unci.org.ua,+380442590186,null
02016241,ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО «ГЛОБАЛ СКЕЙД»,UA80000000000093317,02166,Україна,місто Київ,null,null,Київ,вул. Академіка Курчатова,23,null,null,null,null,+380503557755,null
02070938,НАЦІОНАЛЬНИЙ УНІВЕРСИТЕТ ХАРЧОВИХ ТЕХНОЛОГІЙ,UA80000000000093317,01033,Україна,місто Київ,null,null,Київ,вул. Володимирська,68,null,null,null,info@nuft.edu.ua koperamo@ukr.net,+380442899555,null
02125763,КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО «КОНСУЛЬТАТИВНО-ДІАГНОСТИЧНИЙ ЦЕНТР ДИТЯЧИЙ ДНІПРОВСЬКОГО РАЙОНУ М. КИЄВА»,UA80000000000093317,02098,Україна,місто Київ,null,null,Київ,просп. Павла Тичини,12,null,null,null,null,+380445509518,null
02141207,КОМУНАЛЬНА ОРГАНІЗАЦІЯ КИЇВСЬКИЙ ПАЛАЦ ДІТЕЙ ТА ЮНАЦТВА,UA80000000000093317,01010,Україна,місто Київ,null,null,Київ,вул. Івана Мазепи,13,null,null,null,null,"+380442809519, +380442807547",null
02224407,КОМУНАЛЬНА ОРГАНІЗАЦІЯ ЦЕНТРАЛЬНА БІБЛІОТЕКА ІМ.Т.Г.ШЕВЧЕНКА ДЛЯ ДІТЕЙ М.КИЄВА,UA80000000000093317,03055,Україна,місто Київ,null,null,Київ,просп. Перемоги,25-А,null,null,null,null,null,null
02224593,ТЕАТРАЛЬНО-ВИДОВИЩНИЙ ЗАКЛАД КУЛЬТУРИ «КИЇВСЬКИЙ НАЦІОНАЛЬНИЙ АКАДЕМІЧНИЙ ТЕАТР ОПЕРЕТИ»,UA80000000000093317,03150,Україна,місто Київ,null,null,Київ,вул. Велика Васильківська,53/3,null,null,null,opereta@ukr.net opereta@kyivcity.gov.ua,+380442871480,null
02426463,АКЦІОНЕРНЕ ТОВАРИСТВО «УКРАЇНСЬКИЙ НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ СПЕЦІАЛЬНИХ ВИДІВ ДРУКУ» КОРПОРАТИВНЕ ПІДПРИЄМСТВО ДАК «УКРВИДАВПОЛІГРАФІЯ»,UA80000000000093317,02156,Україна,місто Київ,null,null,Київ,вул. Кіото,25,null,null,null,null,+380503306363,null
02570463,ДЕРЖАВНЕ НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО «КАРТОГРАФІЯ»,UA80000000000093317,02094,Україна,місто Київ,null,null,Київ,вул. Попудренка,54,null,null,null,null,"+380442924033, +380442921264",null
02583684,ДОЧІРНЄ ПІДПРИЄМСТВО «КИЇВСЬКИЙ ТУРИСТСЬКИЙ ГОТЕЛЬ «ДРУЖБА» ПРИВАТНОГО АКЦІОНЕРНОГО ТОВАРИСТВА «УКРПРОФТУР»,UA80000000000093317,01042,Україна,місто Київ,null,null,Київ,бульв. Миколи Міхновського,5,null,null,null,null,null,null
02904195,ТОВАРИСТВО З ДОДАТКОВОЮ ВІДПОВІДАЛЬНІСТЮ «УНІВЕРСАМ № 6 «ОЛІМПІЙСЬКИЙ»,UA80000000000093317,02002,Україна,місто Київ,null,null,Київ,вул. Луначарського,22,null,null,null,null,+380445171337,null
03058715,ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО «РЕМ ПОБУТ ТЕХНІКА»,UA80000000000093317,04050,Україна,місто Київ,null,null,Київ,вул. Глибочицька,53,null,null,null,info@rempobtech.kiev.ua,"+380444174226, +380444286504",null
03121566,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «УКРАЇНСЬКА АВТОМОБІЛЬНА КОРПОРАЦІЯ»,UA80000000000093317,01024,Україна,місто Київ,null,null,Київ,вул. Велика Васильківська,15/2,null,null,null,e.stuzhuk@ukravto.ua,"+380442352031, +380444196189, +380675500196",null
03358529,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ГОТЕЛЬ ГОЛОСІЇВСЬКИЙ»,UA80000000000093317,03127,Україна,місто Київ,null,null,Київ,просп. Голосіївський,93,null,null,null,office@hotelgolos.kiev.ua,"+380563757025, +380563757030",null
03359658,ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО «АГРОФІРМА «ТРОЯНДА»,UA80000000000093317,04123,Україна,місто Київ,null,null,Київ,вул. Осиповського,1-А,null,null,null,vad@parkovemisto.com.ua,+380444301430,null
03359730,ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО «АГРОФІРМА «ТЕПЛИЦІ УКРАЇНИ»,UA80000000000093317,04128,Україна,місто Київ,null,null,Київ,вул. Берковецька,6,null,null,null,null,"+380444222418, +380444222418",null
03393945,ДОЧІРНЄ ПІДПРИЄМСТВО «МЕДИЧНЕ НАУКОВО-ПРАКТИЧНЕ ОБ'ЄДНАННЯ «МЕДБУД» ПРИВАТНОГО АКЦІОНЕРНОГО ТОВАРИСТВА «ХОЛДИНГОВА КОМПАНІЯ «КИЇВМІСЬКБУД»,UA80000000000093317,03037,Україна,місто Київ,null,null,Київ,просп. Валерія Лобановського,17,null,null,null,medbud@medbud.kiiev.ua,+380445968888,null
03449083,ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО «АВТОБАЗА №1»,UA80000000000093317,02121,Україна,місто Київ,null,null,Київ,вул. Колекторна,17,null,null,null,null,"+380445633642, +380445637056, +380445633642",null
03491091,КИЇВСЬКИЙ МІСЬКИЙ ЦЕНТР ЗАЙНЯТОСТІ,UA80000000000093317,01033,Україна,місто Київ,null,null,Київ,вул. Жилянська,47-Б,null,null,null,null,+380442382615,null
04012017,ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО «КИЇВСЬКИЙ ЕЛЕКТРОТРАНСПОРТНИЙ ЗАВОД»,UA80000000000093317,03150,Україна,місто Київ,null,null,Київ,вул. Велика Васильківська,143/2,null,null,null,tkachuk.in@ukr.net,"+380445296531, +380445941804",null
04012780,АКЦІОНЕРНЕ ТОВАРИСТВО «КИЇВПРОЕКТ»,UA80000000000093317,01030,Україна,місто Київ,null,null,Київ,вул. Богдана Хмельницького,16-22,null,null,null,null,"+380442340520, +380442346307",null
04219669,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «АГРОЛЮКС»,UA80000000000093317,02232,Україна,місто Київ,null,null,Київ,вул. Оноре де Бальзака,66,null,null,null,new.ludmila@gmail.com,"+380445302543, +380445352508",null
04592530,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «УНІВЕР 21 ЛТД»,UA80000000000093317,03115,Україна,місто Київ,null,null,Київ,просп. Берестейський,87,null,null,null,lotos06@ukr.net,"+380675388448, +380444230508",null
04820622,ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО «ГОТЕЛЬНИЙ КОМПЛЕКС «БРАТИСЛАВА»,UA80000000000093317,02192,Україна,місто Київ,null,null,Київ,вул. Андрія Малишка,1,null,null,null,yurist@bratislava.ua,+380445373979,null
04948693,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ТЕЛЕКАНАЛ «ПРЯМИЙ»,UA80000000000093317,01601,Україна,місто Київ,null,null,Київ,вул. Мечнікова,2-А,null,null,null,null,null,null
05391057,ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО «ОБОЛОНЬ»,UA80000000000093317,04212,Україна,місто Київ,null,null,Київ,вул. Богатирська,3,null,null,null,general@obolon.kiev.ua,"+380444121465, +380444128410",null
05394423,ПРИВАТНИЙ ВИЩИЙ НАВЧАЛЬНИЙ ЗАКЛАД «МІЖНАРОДНИЙ ІНСТИТУТ МЕНЕДЖМЕНТУ (МІМ-КИЇВ)»,UA80000000000093317,03055,Україна,місто Київ,null,null,Київ,вул. Шулявська,10/12,БЛОК В,null,null,assist@mim.kyiv.ua,+380445850265,null
05414775,ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО «ТОРГОВЕЛЬНО-ПІДПРИЄМНИЦЬКИЙ ЦЕНТР»,UA80000000000093317,03022,Україна,місто Київ,null,null,Київ,вул. Васильківська,34,null,null,null,null,+380442575000,null
05415852,КОМУНАЛЬНЕ ПІДПРИЄМСТВО «ФАРМАЦІЯ»,UA80000000000093317,01054,Україна,місто Київ,null,null,Київ,вул. Івана Франка,38-Б,null,null,null,office@pharmacy.kiev.ua,"+380442349141, +380442347146",null
05416573,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ГОТЕЛЬ «БОТАНІЧНИЙ»,UA80000000000093317,01032,Україна,місто Київ,null,null,Київ,вул. Микільсько-Ботанічна,31,null,null,null,null,"+380442881212, +380442882681",null
05472637,ТДВ «УКРЛІФТСЕРВІС»,UA80000000000093317,02099,Україна,місто Київ,null,null,Київ,вул. Бориспільська,24-А,null,null,null,abugaeva17@gmail.com info@uls.ua,+30951084038,null
05475156,АКЦІОНЕРНЕ ТОВАРИСТВО «КИЇВСЬКА ВИРОБНИЧА КОМПАНІЯ «РАПІД»,UA80000000000093317,02099,Україна,місто Київ,null,null,Київ,вул. Зрошувальна,7,null,null,null,null,"+380445662097, +380445668400",null
05763435,ТОВАРИСТВО З ДОДАТКОВОЮ ВІДПОВІДАЛЬНІСТЮ КИЇВСЬКИЙ ЕКСПЕРИМЕНТАЛЬНИЙ МАШИНОБУДІВНИЙ ЗАВОД «СТЕНД»,UA80000000000093317,03040,Україна,місто Київ,null,null,Київ,вул. Васильківська,14,null,null,null,arenda@stend-office.com.ua,+380442572240,null
05905674,АКЦІОНЕРНЕ ТОВАРИСТВО «ВИДАВНИЦТВО «КИЇВСЬКА ПРАВДА» КОРПОРАТИВНЕ ПІДПРИЄМСТВО АКЦІОНЕРНЕ ТОВАРИСТВО «ДАК «УКРВИДАВПОЛІГРАФІЯ»,UA80000000000093317,04136,Україна,місто Київ,null,null,null,вул. Івана Виговського,13,null,null,null,prat.kievpravda@gmail.com,"+380444430100, +380444430105",null
09306278,АКЦІОНЕРНЕ ТОВАРИСТВО «ОКСІ БАНК»,UA48080110070029138,79058,Україна,Львівська,null,null,Львів,вул. Газова,17,null,null,null,sviderko@okcibank.com.ua,+380322323735,null
09322277,ФІЛІЯ - ГОЛОВНЕ УПРАВЛІННЯ ПО М. КИЄВУ ТА КИЇВСЬКІЙ ОБЛАСТІ АКЦІОНЕРНОГО ТОВАРИСТВА «ДЕРЖАВНИЙ ОЩАДНИЙ БАНК УКРАЇНИ»,UA80000000000093317,01001,Україна,місто Київ,null,null,Київ,вул. Володимирська,27,null,null,null,"nosenkoova@oschadbank.ua, savebank@kiev.oschadnyba","+380445834666, +380442472901, +380442472902",null
09620081,АКЦІОНЕРНЕ ТОВАРИСТВО «СКАЙ БАНК»,UA80000000000093317,01054,Україна,місто Київ,null,null,Київ,вул. Олеся Гончара,76/2,null,null,null,info@sky.bank,+380444902444,null
09801546,АКЦІОНЕРНЕ ТОВАРИСТВО АКЦІОНЕРНО-КОМЕРЦІЙНИЙ БАНК «ЛЬВІВ»,UA48080110070029138,79008,Україна,Львівська,null,null,Львів,вул. Сербська,1,null,null,null,null,"+380442300900, +380504754549, +380322456406",null
09804119,АКЦІОНЕРНЕ ТОВАРИСТВО «МЕГАБАНК»,UA63120270010096107,61002,Україна,Харківська,null,null,Харків,вул. Алчевських,30,null,null,null,novosadlv@megabank.net;mega@megabank.ua,"+380577034783, +380442841071",null
09806443,АКЦІОНЕРНЕ ТОВАРИСТВО «ТАСКОМБАНК»,UA80000000000093317,01032,Україна,місто Київ,null,null,Київ,вул. Симона Петлюри,30,null,null,null,v.tovstik@tascombank.com.ua info@tascombank.com.ua,+380443932560,null
09807750,АКЦІОНЕРНЕ ТОВАРИСТВО «УКРСИББАНК»,UA80000000000093317,04070,Україна,місто Київ,null,null,Київ,вул. Андріївська,2/12,null,null,null,"iurii.ostrianskyi@ukrsibbank.com, ra-rim@ukr.net","+380676588976, +380972600026",null
09807862,АКЦІОНЕРНЕ ТОВАРИСТВО «КРЕДОБАНК»,UA48080110070029138,79026,Україна,Львівська,null,null,Львів,вул. Сахарова,78,null,null,null,mrkhymochka@kredobank.com.ua,"+380322972394, +380675014845, +380322972320",null
09809192,АКЦІОНЕРНЕ ТОВАРИСТВО «АСВІО БАНК»,UA74100390010054825,14000,Україна,Чернігівська,null,null,Чернігів,вул. Преображенська,2,null,null,null,rozinsp@asviobank.ua,+380442054345,null
13549302,ПРИВАТНЕ ПІДПРИЄМСТВО «МЕБЛЕВА ФАБРИКА «МІРТ»»,UA18080150000022496,11707,Україна,Житомирська,null,null,Новоград-Волинський,вул. Лесі Українки,1-А,null,null,null,mirt.nv@gmail.com,"+380414135334, +380414120509",null
13667349,ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО «ПРИЗМА»,UA80000000000093317,01032,Україна,місто Київ,null,null,Київ,вул. Комінтерну,18,null,null,null,atprizma@ukr.net,+380445248120,null
13669756,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «МТІ»,UA80000000000093317,01001,Україна,місто Київ,null,null,Київ,бульв. Лесі Українки,4,null,null,null,office@mti.ua,"+380442309929, +380442304799",null
13674102,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «КРОНОС 1991»,UA80000000000093317,03057,Україна,місто Київ,null,null,Київ,вул. Вадима Гетьмана,6,null,null,null,null,"+380442054706, +380442054747",null
13677276,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «УКРХАРЧОПРОМСЕРВІС»,UA80000000000093317,02232,Україна,місто Київ,null,null,Київ,вул. Закревського,22,null,null,null,null,+380445451344,null
13679915,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «АРАГОН-2008»,UA80000000000093317,04111,Україна,місто Київ,null,null,Київ,вул. Данила Щербаківського,58,null,null,null,rubnadzor32@gmail.com,"+380444003048, +380444006117",null
13689747,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «СЛАВУТИЧ 7»,UA80000000000093317,02154,Україна,місто Київ,null,null,Київ,Русанівська Набережна,4,null,null,null,null,+380444514206,null
13725957,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «СТЕРХ»,UA32080150010049888,08200,Україна,Київська,null,null,Ірпінь,вул. Ветеранів Афганістану,20,null,null,null,dm@sterh.ua,"+380444525562, +380444505301, +380449795186",null
14282829,АКЦІОНЕРНЕ ТОВАРИСТВО «ПЕРШИЙ УКРАЇНСЬКИЙ МІЖНАРОДНИЙ БАНК»,UA80000000000093317,04070,Україна,місто Київ,null,null,Київ,вул. Андріївська,4,null,null,null,andriy.shevchenko@fuib.com,"+380442317000, +380442317100",null
14283958,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «БУДИНОК ПОБУТУ «СТОЛИЧНИЙ»,UA80000000000093317,01032,Україна,місто Київ,null,null,Київ,вул. Симона Петлюри,28,null,null,null,null,+380442340650,null
14284053,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «ІЛТА»,UA80000000000093317,01103,Україна,місто Київ,null,null,Київ,Залізничне шосе,25,null,null,null,office@ilta.ua,"+380444951155, +380443909777",null
14285934,ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО «УКРАЇНСЬКА ФІНАНСОВА ГРУПА»,UA80000000000093317,01033,Україна,місто Київ,null,null,Київ,вул. Саксаганського,77,null,null,null,l.dovgaluk@ukr.net;monoobmin@gmail.com,+380532270571,null
14290527,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ «КАМОЦЦІ»,UA80000000000093317,04080,Україна,місто Київ,null,null,Київ,вул. Кирилівська,1-3,СЕКЦІЯ Д,null,null,null,"+380445369520, +380445369520",null
14298457,ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО «ДНІПРО МОТОР ІНВЕСТ»,UA80000000000093317,03134,Україна,місто Київ,null,null,Київ,вул. Бунґе Родини,14,null,null,null,s.dzyba@dmi.com.ua;hotline@dmi.com.ua,"+380442055966, +380442055974",null
14299913,СПІЛЬНЕ УКРАЇНСЬКО-КАНАДСЬКЕ ПІДПРИЄМСТВО «ВЕЗУВІО ЛТД»,UA80000000000093317,01054,Україна,місто Київ,null,null,Київ,вул. Олеся Гончара,47-В,null,null,null,n.korotkoruchko@vesuvio.ua,"+380442355359, +380442883252",null
14302294,ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО «УКРАЇНСЬКО-КАНАДСЬКЕ СПІЛЬНЕ ТОВАРИСТВО «ТОРОНТО-КИЇВ»,UA80000000000093317,03150,Україна,місто Київ,null,null,Київ,вул. Велика Васильківська,100,null,null,null,null,"+380445290704, +380444958510, +380445292149",null
14305909,АКЦІОНЕРНЕ ТОВАРИСТВО «РАЙФФАЙЗЕН БАНК»,UA80000000000093317,01011,Україна,місто Київ,null,null,Київ,вул. Генерала Алмазова,4-А,null,null,null,k-dozvil@ukr.net; office@raiffeisen.ua,"+380444908888, +380684900888",null
14307794,АКЦІОНЕРНЕ ТОВАРИСТВО «МОТОР СІЧ»,UA74040150150085506,69068,Україна,Запорізька,null,null,Запоріжжя,просп. Моторобудівників,15,null,null,null,motorsich253@gmail.com,"+380442534083, +380442539105",null
