uid,type,CATUTTC,addressPostCode,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,addressPostDistrict,addressThoroughfare,addressLocatorDesignator,addressLocatorBuilding,addressDescription,lat,lon,balanceHolderName,balanceHolderId,elements,area,startDate,inventoryDate,inventoryOrgName,inventoryOrgId,passport,plan
100-11,спортивний,UA80000000000126643,03127,Україна,місто Київ,null,null,Київ,Голосіївський,вул. Теремківській,"2-А, 6",null,парк відпочинку,50.369605,30.451117,КП УЗН Голосіївського району,03359799,Круговий спортивний тренажер (комплекс) – 1шт,140.00,null,2025-12-10,КП УЗН Голосіївського району,03359799,null,null
100-12,спортивний,UA80000000000126643,03191,Україна,місто Київ,null,null,Київ,Голосіївський,вул. Героїв Маріуполя,8,null,сквер «Героїв Маріуполя»,50.383135,30.453551,КП УЗН Голосіївського району,03359799,Спортивний комплекс s-50( турніки; бруси; стіни бар'єр; рукоходи; лавки для преса; шведські стіни; ферма trx; кільця гімнастичні; канат для лазіння) – 1шт,266.00,2021-09-01,2025-10-16,КП УЗН Голосіївського району,03359799,null,null
100-13,спортивний,UA80000000000126643,03191,Україна,місто Київ,null,null,Київ,Голосіївський,вул. Лятошинського,26-Б,null,сквер,50.381001,30.448907,КП УЗН Голосіївського району,03359799,"Стійка для волейболу – з регулюванням по висоті – 2шт., сітка волейбольна 4мм професійна – 1шт.",264.00,2022-05-01,2025-10-14,КП УЗН Голосіївського району,03359799,null,null
100-14,спортивний,UA80000000000126643,02000,Україна,місто Київ,null,null,Київ,Голосіївський,вул. Володимира Самійленка,14,null,сквер,50.404355,30.493030,КП УЗН Голосіївського району,03359799,"Ворота футбольні 3000*2000 з сіткою – 1шт., стійка баскетбольна зі щитом і сіткою – 1шт.",364.00,2023-12-01,2025-11-13,КП УЗН Голосіївського району,03359799,null,null
100-15,Футбольний та баскетбольний,UA80000000000126643,03127,Україна,місто Київ,null,null,Київ,Голосіївський,просп. Голосіївському,114,2,сквер,50.386671,30.488775,КП УЗН Голосіївського району,03359799,"Сітка – 96 м., футбольні ворота з сіткою – 2 шт., баскетбольне обладнання(стійка г-подібна) – 2шт.",266.00,2023-01-01,2025-12-15,КП УЗН Голосіївського району,03359799,null,null
101-1,дитячий,UA80000000000210193,null,Україна,місто Київ,null,null,Київ,Дарницький,вул. Архітектора Вербицького,null,null,Парк імені воїнів- інтернаціоналістів,null,null,КП УЗН Дарницького району,31722949,Null,400.00,null,null,КП УЗН Дарницького району,31722949,null,null
101-2,дитячий,UA80000000000210193,null,Україна,місто Київ,null,null,Київ,Дарницький,вул. Архітектора Вербицького,null,null,Парк імені воїнів- інтернаціоналістів,null,null,КП УЗН Дарницького району,31722949,Null,154.00,null,null,КП УЗН Дарницького району,31722949,null,null
101-3,дитячий,UA80000000000210193,02091,Україна,місто Київ,null,null,Київ,Дарницький,вул. Горлівська,124/1,null,сквер,null,null,КП УЗН Дарницького району,31722949,"Гойдалка подвійна - 1 шт, гойдалка на пружині, типу «Поні» - 1 шт, пісочниця - 1 шт, покриття з гранвідсіву - 120 м2, поребрики 100.20.6 - 44 шт, ігровий комплекс по типу «Панда-м» - 1 шт.,",120.00,2022-11-30,null,КП УЗН Дарницького району,31722949,null,null
101-4,дитячий,UA80000000000210193,02068,Україна,місто Київ,null,null,Київ,Дарницький,вул. Драгоманова,31,null,Парк «Позняки»,null,null,КП УЗН Дарницького району,31722949,Null,832.00,null,null,КП УЗН Дарницького району,31722949,null,null
101-5,дитячий,UA80000000000210193,02068,Україна,місто Київ,null,null,Київ,Дарницький,вул. Олександра Кошиця,9-А,null,Фітнес парк біля озера Лебедине (просп. М. Бажана),null,null,КП УЗН Дарницького району,31722949,Дитячий майданчик у вигляді корабля - 1 шт.,361.80,2019-11-27,null,КП УЗН Дарницького району,31722949,null,null
101-6,дитячий,UA80000000000210193,02068,Україна,місто Київ,null,null,Київ,Дарницький,вул. Олександра Кошиця,9-А,null,Фітнес парк біля озера Лебедине (просп. М. Бажана),null,null,КП УЗН Дарницького району,31722949,"Покриття з гумових плиток (50*50*3 см.) - 422,7 м2, гумові бордюри (50*21*5) - 175 м, гойдалка - 3 шт,",840.00,2023-11-30,null,КП УЗН Дарницького району,31722949,null,null
101-7,дитячий,UA80000000000210193,null,Україна,місто Київ,null,null,Київ,Дарницький,перетин вул. Драгоманова та вул. Анни Ахматової,null,null,сквер,null,null,КП УЗН Дарницького району,31722949,"Гойдалка подвійна зі спинками на ланцюгах - 1 шт., гойдалка на пружині «Поні» - 1 шт., ігровий комплекс interatletika - 1 шт., пісочниця велика - 1шт.,",495.00,2022-11-30,null,КП УЗН Дарницького району,31722949,null,null
101-8,дитячий,UA80000000000210193,02081,Україна,місто Київ,null,null,Київ,Дарницький,Дніпровська набережна,8,null,Парк на Дніпровській набережній в районі затоки Берковщина,null,null,КП УЗН Дарницького району,31722949,"Камені бетонні бортові марки бр 100.20.80 - 75,7 шт., ігровий комплекс «транспорт» («річний вокзал»(міні), - 1 шт. ,гойдалка подвійна на дерев’яних стійках (зі спинкою) - 1 шт., карусель «Мавпочка» - 1 шт, гімнастичний комплекс «акробат» - 1 шт, батут т80_s 80см - 2 шт., гойдалка одинакрна на деревяних стійках «гніздо лелеки» - 1 шт.",254.34,2022-11-30,null,КП УЗН Дарницького району,31722949,null,null
101-9,дитячий,UA80000000000210193,02081,Україна,місто Київ,null,null,Київ,Дарницький,Дніпровська набережна,8,null,Парк на Дніпровській набережній в районі затоки Берковщина,null,null,КП УЗН Дарницького району,31722949,"Покриття з відсіву - 112,782 м3, камені бетонні бортові марки бр 100.20.80 - 70,71 шт., маятник-твістер - 1 шт., повітряний ходок - 1 шт., турнік - 1 шт., прес з упором на руки - 1 шт., гіперекстензія - 1 шт., ричажна тяга - 1 шт., батерфляй - 1 шт., розгинач стегна-степпер - 1 шт., ск воркаут - 2 шт., степпер-тренажер - 1 шт, велотренажер - 1 шт., хос райдер - 1 шт., стіл для ігор - 1 шт., лижник подвійний - 1 шт., тренажер для преса - 2 шт.",346.18,2022-12-01,null,КП УЗН Дарницького району,31722949,null,null
101-10,дитячий,UA80000000000210193,02081,Україна,місто Київ,null,null,Київ,Дарницький,Дніпровська набережна,8,null,Парк на Дніпровській набережній в районі затоки Берковщина,null,null,КП УЗН Дарницького району,31722949,"Камені бетонні бортові марки бр 100.20.80 - 58 шт, дитячий ігровий канатний комплекс - 2 шт.",326.00,2022-12-02,null,КП УЗН Дарницького району,31722949,null,null
101-11,дитячий,UA80000000000210193,02081,Україна,місто Київ,null,null,Київ,Дарницький,Дніпровська набережна,8,null,Парк на Дніпровській набережній в районі затоки Берковщина,null,null,КП УЗН Дарницького району,31722949,"Покриття гумових плиток (50*50*3) - 314 м2, камені бетонні бортові марки бр 100.20.80 - 56,47 шт., дитячий ігровий комплекс - 4 шт, гойдалка-баланси - 1 шт, гойдалка - 2 шт., карусель - 1 шт., гойдалка на пружині - 2 шт.,",346.18,2022-12-03,null,КП УЗН Дарницького району,31722949,null,null
101-12,дитячий,UA80000000000210193,02081,Україна,місто Київ,null,null,Київ,Дарницький,Дніпровська набережна,8,null,Парк на Дніпровській набережній в районі затоки Берковщина,null,null,КП УЗН Дарницького району,31722949,"Ігровий комплекс - 3 шт., гойдалка на пружині - 1 шт.",195.97,2022-12-04,null,КП УЗН Дарницького району,31722949,null,null
101-13,дитячий,UA80000000000210193,02096,Україна,місто Київ,null,null,Київ,Дарницький,вул. Чубинського (Привокзальна),10,null,Парк Привокзальний,null,null,КП УЗН Дарницького району,31722949,"Ігровий комплекс «річний вокзал» - 1 шт., камені бетонні бортові марки бр 100.20.80 - 66 шт., огорожа «квіти» - 53 м.,",272.00,2022-12-05,null,КП УЗН Дарницького району,31722949,null,null
101-14,дитячий,UA80000000000210193,null,Україна,місто Київ,null,null,Київ,Дарницький,вул. Дениса Антіпова,null,null,Парк Партизанської Слави,null,null,КП УЗН Дарницького району,31722949,"Гойдалка на пружині - 1 шт., покриття з гумових плиток - 423 м2",423.00,2020-05-14,null,КП УЗН Дарницького району,31722949,null,null
101-15,дитячий,UA80000000000210193,null,Україна,місто Київ,null,null,Київ,Дарницький,вул. Дениса Антіпова,null,null,Парк Партизанської Слави,null,null,КП УЗН Дарницького району,31722949,Null,306.00,1905-07-10,null,КП УЗН Дарницького району,31722949,null,null
101-16,дитячий,UA80000000000210193,02121,Україна,місто Київ,null,null,Київ,Дарницький,Харківське шосе,180/21,null,сквер,null,null,КП УЗН Дарницького району,31722949,Null,256.00,1905-07-10,null,КП УЗН Дарницького району,31722949,null,null
101-17,дитячий,UA80000000000210193,02121,Україна,місто Київ,null,null,Київ,Дарницький,вул. Братства Тарасівців,5-Б,null,сквер,null,null,КП УЗН Дарницького району,31722949,Null,940.00,1905-07-09,null,КП УЗН Дарницького району,31722949,null,null
101-18,дитячий,UA80000000000210193,02121,Україна,місто Київ,null,null,Київ,Дарницький,вул. Братства Тарасівців,5-Б,null,сквер,null,null,КП УЗН Дарницького району,31722949,Null,940.00,1905-07-09,null,КП УЗН Дарницького району,31722949,null,null
101-19,дитячий,UA80000000000210193,02068,Україна,місто Київ,null,null,Київ,Дарницький,вул. Олександра Кошиця,11,null,сквер,null,null,КП УЗН Дарницького району,31722949,Null,200.00,null,null,КП УЗН Дарницького району,31722949,null,null
101-20,дитячий,UA80000000000210193,02149,Україна,місто Київ,null,null,Київ,Дарницький,вул. Вишняківська,12,null,сквер,null,null,КП УЗН Дарницького району,31722949,Null,800.00,null,null,КП УЗН Дарницького району,31722949,null,null
101-21,дитячий,UA80000000000210193,02095,Україна,місто Київ,null,null,Київ,Дарницький,вул. Анни Ахматової,43,null,сквер,null,null,КП УЗН Дарницького району,31722949,Null,325.00,1905-07-10,null,КП УЗН Дарницького району,31722949,null,null
101-22,дитячий,UA80000000000210193,02095,Україна,місто Київ,null,null,Київ,Дарницький,вул. Анни Ахматової,43,null,сквер,null,null,КП УЗН Дарницького району,31722949,Null,325.00,null,null,КП УЗН Дарницького району,31722949,null,null
101-23,дитячий,UA80000000000210193,02081,Україна,місто Київ,null,null,Київ,Дарницький,вул. Здолбунівській,11-В,null,сквер,null,null,КП УЗН Дарницького району,31722949,"Карусель - 1 шт, балансир - 2 шт., ігровий елемент - 3 шт, столик зі стількичами - 3 шт, ігровий комплекс - 1 шт., навчальна дошка - 5 шт, ігровий комплекс «хуторок» - 1 шт.",30.00,null,null,КП УЗН Дарницького району,31722949,null,null
101-24,дитячий,UA80000000000210193,null,Україна,місто Київ,null,null,Київ,Дарницький,перетин вул. Севастопольської та вул. Новодарницької,null,null,Парк відпочинку біля палацу культури «Дарниця»,null,null,КП УЗН Дарницького району,31722949,Null,510.00,1905-07-10,null,КП УЗН Дарницького району,31722949,null,null
101-25,дитячий,UA80000000000210193,null,Україна,місто Київ,null,null,Київ,Дарницький,перетин вул. Ялтинська та вул. Генадія Афанасьєва,null,null,Сквер Закоханих,null,null,КП УЗН Дарницького району,31722949,Null,100.00,1905-07-10,null,КП УЗН Дарницького району,31722949,null,null
101-26,дитячий,UA80000000000210193,null,Україна,місто Київ,null,null,Київ,Дарницький,вул. Бориспільська,"30, 34, 38",null,сквер,null,null,КП УЗН Дарницького району,31722949,Null,800.00,1905-07-10,null,КП УЗН Дарницького району,31722949,null,null
101-27,дитячий,UA80000000000210193,02091,Україна,місто Київ,null,null,Київ,Дарницький,вул. Тростянецька,47,null,сквер,null,null,КП УЗН Дарницького району,31722949,Null,55.00,null,null,КП УЗН Дарницького району,31722949,null,null
101-28,дитячий,UA80000000000210193,null,Україна,місто Київ,null,null,Київ,Дарницький,вул. Дениса Антіпова,null,null,Парк Партизанської Слави,null,null,КП УЗН Дарницького району,31722949,Null,260.00,null,null,КП УЗН Дарницького району,31722949,null,null
101-29,дитячий,UA80000000000210193,null,Україна,місто Київ,null,null,Київ,Дарницький,вул. Дениса Антіпова,null,null,Парк Партизанської Слави,null,null,КП УЗН Дарницького району,31722949,Null,260.00,null,null,КП УЗН Дарницького району,31722949,null,null
101-30,дитячий,UA80000000000210193,null,Україна,місто Київ,null,null,Київ,Дарницький,вул. Дениса Антіпова,null,null,Парк Партизанської Слави,null,null,КП УЗН Дарницького району,31722949,Null,260.00,null,null,КП УЗН Дарницького району,31722949,null,null
102-1,дитячий,UA80000000000336424,02217,Україна,місто Київ,null,null,Київ,Деснянський,просп. Червоної Калини,3,null,сквер,50.4976906635895,30.584242513587686,КП УЗН Деснянського району,04589645,"Гойдалка підвісна подвійна, гойдалка балансир, карусель з сидінням, пісочниця мала без навісу, пісочниця середня без навісу, спортивно-ігровий комплекс «дві башти» №1, спортивно-ігровий комплекс «дві башти» №2",225.00,2015-01-01,2025-11-01,КП УЗН Деснянського району,04589645,null,null
102-2,спортивний,UA80000000000336424,null,Україна,місто Київ,null,null,Київ,Деснянський,просп. Р. Шухевича,null,null,парк з водними об'єктами вздовж просп. Шухевича,50.497089269446896,30.587752226167186,КП УЗН Деснянського району,04589645,"Станція, тренажер для пресу, повітряна хода, орбітрек, лава горизонтальна 1,6м, лава з нахилом, жим ногами, жим від грудей (верхня тяга), гребний тренажер",111.00,2023-01-01,2025-11-01,КП УЗН Деснянського району,04589645,null,null
102-3,спортивний,UA80000000000336424,null,Україна,місто Київ,null,null,Київ,Деснянський,просп. Р. Шухевича,null,null,парк з водними об'єктами вздовж просп. Шухевича,50.49710765046888,30.583459509562186,КП УЗН Деснянського району,04589645,Спортивний комплекс s40,72.30,2023-01-01,2025-11-01,КП УЗН Деснянського району,04589645,null,null
102-4,спортивний,UA80000000000336424,null,Україна,місто Київ,null,null,Київ,Деснянський,просп. Р. Шухевича,null,null,парк з водними об'єктами вздовж просп. Шухевича,50.497089790331664,30.582619152670265,КП УЗН Деснянського району,04589645,"Ворота гандбольні з сіткою - 2 шт., стійка волейбол-тенісна з сіткою, модульна огорожа (висота 3м) 90,17 м.пог., стенд баскетбольний з сіткою - 2 шт.",466.12,2023-01-01,2025-11-01,КП УЗН Деснянського району,04589645,null,null
102-5,дитячий,UA80000000000336424,null,Україна,місто Київ,null,null,Київ,Деснянський,просп. Р. Шухевича,null,null,парк з водними об'єктами вздовж просп. Шухевича,50.4971699340184,30.586545387819783,КП УЗН Деснянського району,04589645,"Секція огорожі - 36 шт., лавка - 4 шт., гойдалка подвійна на металевих стійках, лавка без спинки з поручнями - 3 шт., карусель для дітей, ігровий комплекс «цитадель», гойдалка на пружині «Метелик», гойдалка на пружині «равлик», пісочний двір «Човник», будинок альтанка «білочка»",209.40,2023-01-01,2025-11-01,КП УЗН Деснянського району,04589645,null,null
102-6,дитячий,UA80000000000336424,null,Україна,місто Київ,null,null,Київ,Деснянський,вздовж просп. Червоної Калини від вул. Ніколаєва до вул. Каштанова,null,null,парк «Ніколаєва»,50.50389148373239,30.59464462293321,КП УЗН Деснянського району,04589645,"Гойдалка двомісна, пісочниця, гойдалка балансир, карулесь з сидінням, драбина стаціонарна, гірка, лавка - 3 шт.",112.00,2021-01-01,2025-11-01,КП УЗН Деснянського району,04589645,null,null
102-7,дитячий,UA80000000000336424,null,Україна,місто Київ,null,null,Київ,Деснянський,вздовж просп. Червоної Калини від вул. Ніколаєва до вул. Каштанова,null,null,парк «Ніколаєва»,50.50078149582413,30.590156275969576,КП УЗН Деснянського району,04589645,"Комплекс чотири вежі, комплекс гойдалок",115.00,2018-01-01,2025-11-01,КП УЗН Деснянського району,04589645,null,null
102-8,дитячий,UA80000000000336424,null,Україна,місто Київ,null,null,Київ,Деснянський,просп. В. Маяковського вул. Оноре де Бальзака,"15-Б, 14",null,сквер ім. В'ячеслава Веремія,50.50462633294876,30.588808154887886,КП УЗН Деснянського району,04589645,"Гойдалка подвійна, гойдалка балансир - 3 шт., карусель, пісочниця, огорожа 82,2 м.п., ігровий комплекс «тигреня», ігровий комплекс «Малюк new»",376.50,2023-01-01,2025-11-01,КП УЗН Деснянського району,04589645,null,null
102-9,спортивний,UA80000000000336424,null,Україна,місто Київ,null,null,Київ,Деснянський,просп. В. Маяковського вул. Оноре де Бальзака,"15-Б, 14",null,сквер ім. В'ячеслава Веремія,50.504431406689484,30.588998328985994,КП УЗН Деснянського району,04589645,Воркаут,120.00,2023-01-01,2025-11-01,КП УЗН Деснянського району,04589645,null,null
102-10,дитячий,UA80000000000336424,null,Україна,місто Київ,null,null,Київ,Деснянський,на розі вул. Ніколаєва та просп. Червоної Калини,null,null,парк «Деснянський»,50.50778994143721,30.596161216300178,КП УЗН Деснянського району,04589645,"Пісочниця, гойдалка широка, гойдалка подвійна, комплекс «Паравоз», карусель, елемент «квіточка», грибочки, гойдалка подвійна, гойдалка широка, комплекс «фортеця», альтанка «грибок», гойдалка-балансир, альтанка дитяча, гойдалка-балансир, пісочниця «корабель», лава паркова - 4 шт., урна для сміття - 4 шт., огорожа майданчика",420.00,2012-01-01,2025-11-01,КП УЗН Деснянського району,04589645,null,null
102-11,дитячий,UA80000000000336424,null,Україна,місто Київ,null,null,Київ,Деснянський,на розі вул. Ніколаєва та просп. Червоної Калини,null,null,парк «Деснянський»,50.5061029815994,30.597782198849494,КП УЗН Деснянського району,04589645,"Гірка, карусель, пісочниця, альтанка дитяча, гойдалка-балансир, гойдалка, лава паркова - 4 шт., урна для сміття - 3 шт.",200.00,2012-01-01,2025-11-01,КП УЗН Деснянського району,04589645,null,null
102-12,спортивний,UA80000000000336424,null,Україна,місто Київ,null,null,Київ,Деснянський,на розі вул. Ніколаєва та просп. Червоної Калини,null,null,парк «Деснянський»,50.506088205090364,30.59810227144022,КП УЗН Деснянського району,04589645,"Поперечина для підтягування - 7 шт., вертикальна планка - 2 шт., шведська стійка вертикальна - 2 шт., шведська стійка горизонтальна - 4 шт., планка для пресу під кутом 45 - 2 шт., паралельні бруси - 2 шт., спортивне обладнання «Змійка»",80.00,2018-01-01,2025-11-01,КП УЗН Деснянського району,04589645,null,null
102-13,дитячий,UA80000000000336424,null,Україна,місто Київ,null,null,Київ,Деснянський,вздовж просп.Червоної Калини від вул. C.Лифаря до вул. Рональда Рейгана,null,null,парк «Фестивальний»,50.50640869969401,30.601314504491146,КП УЗН Деснянського району,04589645,"Гойдалка двомісна, пісочниця, гойдалка балансир, гойдалка «жабеня», драбина стаціонарна, гірка, лавка",100.00,2021-01-01,2025-11-01,КП УЗН Деснянського району,04589645,null,null
102-14,дитячий,UA80000000000336424,null,Україна,місто Київ,null,null,Київ,Деснянський,на розі просп. Червоної Калини та вул. Олександри Екстер,null,null,парк «Молодіжний»,50.52110620903819,30.622435948388045,КП УЗН Деснянського району,04589645,"Тентове покриття альтанки, гойдалка «гніздо лелеки», гойдалка - балансир, ігровий комплекс «Струмок», покриття гумове (плитка)",737.00,2022-01-01,2025-11-01,КП УЗН Деснянського району,04589645,null,null
102-15,спортивний,UA80000000000336424,null,Україна,місто Київ,null,null,Київ,Деснянський,на розі просп. Червоної Калини та вул. Олександри Екстер,null,null,парк «Молодіжний»,50.520703137660405,30.623557781383404,КП УЗН Деснянського району,04589645,"Поперечина для підтягування - 7 шт., вертикальна планка - 2 шт., шведська стійка вертикальна - 2 шт., шведська стійка горизонтальна - 4 шт., планка для пресу під кутом 45 - 2 шт., паралельні бруси - 2 шт., спортивне обладнання «Змійка», канат",80.00,2018-01-01,2025-11-01,КП УЗН Деснянського району,04589645,null,null
102-16,спортивний,UA80000000000336424,null,Україна,місто Київ,null,null,Київ,Деснянський,на розі просп. Червоної Калини та вул. Олександри Екстер,null,null,парк «Молодіжний»,50.521257612417614,30.623140463404262,КП УЗН Деснянського району,04589645,"Спортивний комплекс №1, турніки, брусья, стіл тенісний",236.00,2000-01-01,2025-11-01,КП УЗН Деснянського району,04589645,null,null
102-17,дитячий,UA80000000000336424,null,Україна,місто Київ,null,null,Київ,Деснянський,на розі просп. Червоної Калини та вул. Олександри Екстер,null,null,парк «Молодіжний»,50.52075824129343,30.624049417797174,КП УЗН Деснянського району,04589645,Шведська стінка 2 шт.,1530.00,2006-01-01,2025-11-01,КП УЗН Деснянського району,04589645,null,null
102-18,спортивний,UA80000000000336424,null,Україна,місто Київ,null,null,Київ,Деснянський,вул. Лісківська,"5,7",null,сквер,50.522476443590385,30.603916508014173,КП УЗН Деснянського району,04589645,"Покриття спорт майданчиків з гумової плитки, орбітрек, тренажер для м'язів біцепса, хос райдер, гребний тренажер, жим сидячі від грудей, станція «interatletika», прес-гіперекстензія",200.00,2021-01-01,2025-11-01,КП УЗН Деснянського району,04589645,null,null
102-19,дитячий,UA80000000000336424,02167,Україна,місто Київ,null,null,Київ,Деснянський,вул. Лісківська,26,null,сквер,50.52896521489424,30.592578241071056,КП УЗН Деснянського району,04589645,"Гойдалка балансир, пісочниця",16.00,2018-01-01,2025-11-01,КП УЗН Деснянського району,04589645,null,null
102-20,дитячий,UA80000000000336424,null,Україна,місто Київ,null,null,Київ,Деснянський,на розі бульв. Висоцького та бульв. Бикова,null,null,сквер Висоцького-Бикова,50.516420657365785,30.61931028906204,КП УЗН Деснянського району,04589645,"Гойдалка на пружинах, гойдалка підвісна подвійна, гойдалка балансир, карусель зі спинкою, пісочниця без навісу, спортивно-ігровий комплекс «три башти», спортивно-ігровий комплекс «Чемпіон», спортивний міні-комплекс, стійка для зворотних віджимань, стійка для преса, стійка для розтягувань та стрейчінгу, штанга для жиму лежачі, штанга для жиму стоячи",481.50,2013-01-01,2025-11-01,КП УЗН Деснянського району,04589645,null,null
