uid,inventoryNumber,serialNumber,passportNumber,title,model,producerName,dateReceived,quantity,unitName,primaryAmountValue,currencyCode,amortizationAmountValue,currencyCode1,bookAmountValue,currencyCode2,usageDuarationInYears,wearPercentage,serviceSubgroupTitle,serviceSubgroupId,balanceHolderName,balanceHolderId
04350694-945,113000107,null,null,Апарат для оцінювання рівня глюкози в крові,null,Китай,null,1,шт.,413.30,UAH,206.65,UAH,206.65,UAH,5,50,Лабораторне обстеження хворих,4S,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-946,113000107,null,null,Апарат для оцінювання рівня глюкози в крові,null,Китай,null,1,шт.,503.84,UAH,251.92,UAH,251.92,UAH,5,50,Лабораторне обстеження хворих,4S,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-951,113000500,LS18BAR0001212,LS18BAR0001212,Апарат для плазмоліфтінгу і A-PRF Центрифуга(301),і A-PRF,Китай,null,1,шт.,19260.00,UAH,9630.00,UAH,9630.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-952,113000600,92220530022,92220530022,Апарат «ЕКГ»,ECG12 CHANNELS,Fazzini. Італія,null,2,шт.,1303.00,UAH,651.50,UAH,651.50,UAH,5,50,Функціональні тести серця,2HF,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-953,388,null,null,Апарат «МИТ-1»,МИТ-1,Україна,null,2,шт.,600.00,UAH,300.00,UAH,300.00,UAH,5,50,Фізіотерапевтичні лікувальні втручання,5A,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-955,17247,370,370,Апарат ФОМК-1,ФОМК-1,Україна,null,1,шт.,299.00,UAH,149.50,UAH,149.50,UAH,5,50,Підготовка матеріалу до мікроскопічного дослідження,3HD,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-956,113000620,null,null,Апарат ШВЛ Anesthesia Ventilator SAVINA 300,Anesthesia Ventilator SAVINA 300,Німеччина,null,1,шт.,4000.00,UAH,2000.00,UAH,2000.00,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-957,113000499,null,null,Апарат ШВЛ транспортний Osiris,Osiris,Air Liquide Medical Systems. Франція,null,3,шт.,57000.00,UAH,28500.00,UAH,28500.00,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-962,300391,null,null,Аппарат «БОП-4»,«БОП-4»,Україна,null,1,шт.,40.00,UAH,20.00,UAH,20.00,UAH,5,50,Світлолікування,5AC,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-963,113000283,null,null,Аспіратор Askir,Askir,Ca-Mi. Італія,null,1,шт.,12000.00,UAH,6000.00,UAH,6000.00,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-967,113000014,null,null,Бактерицидна рециркуляторна лампа «Фіолет Т-02»,«Фіолет Т-02»,Україна,null,1,шт.,1000.00,UAH,500.00,UAH,500.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-970,113000476,null,null,Бактеріальний фільтр,null,Medicare. Китай,null,2,шт.,117.70,UAH,58.85,UAH,58.85,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-971,113000029,null,null,Балансуючі платформи,null,Medicare. Китай,null,2,шт.,200.00,UAH,100.00,UAH,100.00,UAH,5,50,Фізіотерапевтичні лікувальні втручання,5A,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-974,113000030,null,null,Бруси,null,Україна,null,1,шт.,300.00,UAH,150.00,UAH,150.00,UAH,5,50,Фізіотерапевтичні лікувальні втручання,5A,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-976,113000028,null,null,Вертикалізатор,null,Україна,null,1,шт.,5800.00,UAH,2900.00,UAH,2900.00,UAH,5,50,Фізіотерапевтичні лікувальні втручання,5A,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-977,113000028,null,null,Вертикалізатор,null,Україна,null,1,шт.,3600.00,UAH,1800.00,UAH,1800.00,UAH,5,50,Фізіотерапевтичні лікувальні втручання,5A,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-979,113000398,null,null,Вертикалізатор динамічний,null,Україна,null,1,шт.,1200.00,UAH,600.00,UAH,600.00,UAH,5,50,Фізіотерапевтичні лікувальні втручання,5A,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-980,113000269,null,null,Вертикалізатор динамічний «Кролик»,«Кролик»,Україна,null,1,шт.,1000.00,UAH,500.00,UAH,500.00,UAH,5,50,Фізіотерапевтичні лікувальні втручання,5A,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-981,113000659,null,null,Вертикалізатор дитячий,null,Україна,null,2,шт.,2.00,UAH,1.00,UAH,1.00,UAH,5,50,Фізіотерапевтичні лікувальні втручання,5A,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-982,113000406,null,null,Вертикалізатор задньоопірний Leckey Mygo Stander2,Leckey Mygo Stander2,Британія /ARM Holdings,null,1,шт.,3000.00,UAH,1500.00,UAH,1500.00,UAH,5,50,Фізіотерапевтичні лікувальні втручання,5A,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-983,113000424,null,null,Вертикалізатор задньоопірний Leckey Squigless,Leckey Squigless,Великобританія/ Leckey Squiggles,null,1,шт.,700.00,UAH,350.00,UAH,350.00,UAH,5,50,Фізіотерапевтичні лікувальні втручання,5A,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-984,113000402,null,null,Вертикалізатор передньоопірний Leckey Pronestander,Leckey Pronestander,Великобританія/ Leckey Squiggles,null,1,шт.,2000.00,UAH,1000.00,UAH,1000.00,UAH,5,50,Фізіотерапевтичні лікувальні втручання,5A,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-985,113000403,null,null,Вертикалізатор передньоопірний Quest 88 Upi Myiti,Quest 88 Upi Myiti,Quest 88. Велика Британія,null,1,шт.,2000.00,UAH,1000.00,UAH,1000.00,UAH,5,50,Фізіотерапевтичні лікувальні втручання,5A,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-986,113000630,null,null,Вимірювач артеріального тиску LD-80 без фонендоскопа,LD-80,Little Doctor International (S) Pte. Ltd. Сінгапур,null,9,шт.,5979.60,UAH,2989.80,UAH,2989.80,UAH,5,50,Вимір артеріального тиску,AA1 09,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-987,113000284,null,null,Вимірювач артеріального тиску Little Doctor (три дитячі манжети),Little Doctor,Little Doctor International (S) Pte. Ltd. Сінгапур,null,2,шт.,1198.00,UAH,599.00,UAH,599.00,UAH,5,50,Вимір артеріального тиску,AA1 09,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-996,111300971,null,null,Вимірювач елек.артер.тиску на плечі M1,M1,Omron Healthcare Co.. Ltd.. Японія,null,2,шт.,6391.15,UAH,3195.58,UAH,3195.57,UAH,5,50,Вимір артеріального тиску,AA1 09,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1021,113000242,null,null,Відсмоктувач «Біомед»7А-23Д,Біомед 7А-23Д,Biomed. КНР,null,1,шт.,4000.00,UAH,2000.00,UAH,2000.00,UAH,5,50,Хірургічні втручання,7,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1022,113000727,null,null,Відсмоктувач електричний «МЕДИКА»,«Медика»,«МЕДИКА». Китай,null,14,шт.,85400.00,UAH,42700.00,UAH,42700.00,UAH,5,50,Хірургічні втручання,7,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1023,113000438,03290061,03290061,Відсмоктувач електричний «Медика» Н-002,«Медика» Н-002,«МЕДИКА». Китай,null,1,шт.,5060.00,UAH,2530.00,UAH,2530.00,UAH,5,50,Хірургічні втручання,7,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1024,113000511,null,null,Відсмоктувач електричний Н-003А універсальний,Н-003 А,Folee. Китай,null,3,шт.,19200.00,UAH,9600.00,UAH,9600.00,UAH,5,50,Хірургічні втручання,7,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1028,113000700,null,null,Відсмоктувач медичний «Біомед»,Біомед,Biomed. КНР,null,1,шт.,3700.00,UAH,1850.00,UAH,1850.00,UAH,5,50,Хірургічні втручання,7,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1031,113000504,null,null,Відсмоктувач медичний з контейнером для секрету 300 мл,null,Laerdal Medical. Норвегія,null,6,шт.,90482.76,UAH,45241.38,UAH,45241.38,UAH,5,50,Хірургічні втручання,7,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1034,113000429,null,null,Відсмоктувач медичний Н-003В,Н-003В,Jiangsu Folee Medical Equipment Co.. Ltd.. Китай,null,8,шт.,28000.00,UAH,14000.00,UAH,14000.00,UAH,5,50,Хірургічні втручання,7,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1035,113000298,19844,19844,Відсмоктувач хірургічний з електричним приводом,null,Біомед. Китай,null,1,шт.,159.00,UAH,79.50,UAH,79.50,UAH,5,50,Хірургічні втручання,7,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1036,113000149,null,null,Відсмоктувач«БІОМЕД»7Е-С,«БІОМЕД»7Е-С,Biomed. КНР,null,4,шт.,6090.00,UAH,3045.00,UAH,3045.00,UAH,5,50,Хірургічні втручання,7,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1039,113000503,null,null,Глюкометр,null,Biomed. КНР,null,4,шт.,911.38,UAH,455.70,UAH,455.68,UAH,5,50,Лабораторне обстеження хворих,4S,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1040,113000689,A501040L0219,A501040L0219,Глюкометр «Caresens N»,«Caresens N»,i-Sens. Inc. Південна Корея,null,1,шт.,250.00,UAH,125.00,UAH,125.00,UAH,5,50,Лабораторне обстеження хворих,4S,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1042,113000673,null,null,Глюкометр Ассu-Chek з полосками,Ассu-Chek,Roche Diagnostics Німеччина,null,1,шт.,1700.00,UAH,850.00,UAH,850.00,UAH,5,50,Лабораторне обстеження хворих,4S,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1043,113000681,null,null,Датчик потоку неонатальний ISO 15.PSU,ISO 15.PSU,Dräger. Німеччина,null,1,шт.,16039.30,UAH,8019.65,UAH,8019.65,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1044,113000651,null,null,Датчик температури,null,Dräger. Німеччина,null,1,шт.,6903.00,UAH,3451.50,UAH,3451.50,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1045,113000752,null,null,Датчик температурний езофагальний/ректальний для дітей Е/ТЕМР-Еso/RecP,Е/ТЕМР-Еso/RecP,Philips. Нідерланди,null,1,шт.,8400.00,UAH,4200.00,UAH,4200.00,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1047,113000494,null,null,Детектор Доплера(FHR) з витратними матеріалами,FHR,Heaco (Великобританія),null,1,шт.,4777.84,UAH,2388.92,UAH,2388.92,UAH,5,50,Ультразвукові дослідження,2F,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1048,113000485,null,null,Дефібрилятор,null,Zoll Medical. США,null,3,шт.,58500.00,UAH,29250.00,UAH,29250.00,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1049,113000436,null,null,Дефібрилятор (Defibrillator/monitor model D 500 Mediana).,null,Mediana Co Ltd (Південна Корея),null,1,шт.,1.00,UAH,0.50,UAH,0.50,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1051,11130159,null,null,Діагностичний набір ( HS-2003-P),HS-2003-P,Біомед. Китай,null,1,шт.,4950.00,UAH,2475.00,UAH,2475.00,UAH,5,50,Спеціальне лікарське обстеження,1C,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1052,15970,null,null,Електровідсмоктувач ох-10,null,ТОВ «Завод «ЕМО»». Україна,null,1,шт.,237.00,UAH,118.50,UAH,118.50,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1054,133025,null,null,Инфузомат портативн.,null,Біомед. Китай,null,1,шт.,90.00,UAH,45.00,UAH,45.00,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1059,324036,null,null,Інгалятор,null,Microlife. Швейцарія,null,1,шт.,5.00,UAH,2.50,UAH,2.50,UAH,5,50,Аерозольтерапія індивідуальна,DA5.14,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1060,40575,011200,011200,Інгалятор,null,Microlife. Швейцарія,null,6,шт.,800.00,UAH,400.00,UAH,400.00,UAH,5,50,Аерозольтерапія індивідуальна,DA5.14,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1062,113000528,null,null,Інгалятор OMRON MicroAIR U100 Mesh Nebulizer,OMRON MicroAIR U100 Mesh Nebulizer,Omron Healthcare. Японія,null,7,шт.,25200.00,UAH,12600.00,UAH,12600.00,UAH,5,50,Аерозольтерапія індивідуальна,DA5.14,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1063,113000066,null,null,Інгалятор Xiaomi Andon Mscro Mesh Nebulizer (VP-M3A),Xiaomi Andon Mscro Mesh Nebulizer (VP-M3A),Andon Medical. Киай,null,3,шт.,3837.00,UAH,1918.50,UAH,1918.50,UAH,5,50,Аерозольтерапія індивідуальна,DA5.14,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1064,113000151,null,null,Інгалятор БІОМЕД 403 С,БІОМЕД 403 С,Biomed. КНР,null,1,шт.,1142.07,UAH,571.04,UAH,571.03,UAH,5,50,Аерозольтерапія індивідуальна,DA5.14,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1067,113000427,null,null,Інгалятор компресорний (небулайзер)WNE211,WNE211,Heaco Medical Technology. Великобрітанія,null,2,шт.,1429.30,UAH,714.65,UAH,714.65,UAH,5,50,Аерозольтерапія індивідуальна,DA5.14,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1070,113000527,null,null,Інгалятор компресорний OMRON DuoBeby,OMRON DuoBeby,Omron Healthcare. Японія,null,5,шт.,20000.00,UAH,10000.00,UAH,10000.00,UAH,5,50,Аерозольтерапія індивідуальна,DA5.14,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1071,113000512,null,null,Інгалятор компресорний W 003,W 003,Китай,null,1,шт.,1250.00,UAH,625.00,UAH,625.00,UAH,5,50,Аерозольтерапія індивідуальна,DA5.14,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1075,113000509,null,null,Інгалятор МЕШ (небулайзер) NE-M01,NE-M01,Heaco Medical Technology. Великобрітанія,null,1,шт.,1400.00,UAH,700.00,UAH,700.00,UAH,5,50,Аерозольтерапія індивідуальна,DA5.14,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1076,113000602,null,null,Інфузійний насос,null,Biomed. КНР,null,5,шт.,1870.00,UAH,935.00,UAH,935.00,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1077,113000492,null,null,Інфузійний насос SYS-6010 A Infusion Pump,SYS-6010 A Infusion Pump,MEDCAPTAIN (Китай),null,1,шт.,8810.52,UAH,4405.26,UAH,4405.26,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1078,113000606,null,null,Інфузійний шприцевий насос Injektomat Agilla,Injektomat Agilla,Fresenius Kabi (Німеччина),null,9,шт.,135000.00,UAH,67500.00,UAH,67500.00,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1080,113000698,null,null,Кисневий концентратор OXY 500,OXY 500,Foras Computer Electronic Medical. Туреччина,null,1,шт.,4000.00,UAH,2000.00,UAH,2000.00,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1081,113000690,null,null,Комплект засобів для зігрівання немовлят,null,Löwenstein Medical. Німеччина,null,3,шт.,32173.42,UAH,16086.71,UAH,16086.71,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1082,113000616,null,null,Компресорний небулайзер «Nebby»,«Nebby»,Medel. Італія,null,1,шт.,1400.00,UAH,700.00,UAH,700.00,UAH,5,50,Аерозольтерапія індивідуальна,DA5.14,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1083,113000764,null,null,Концентратор кисневий індивідуального використання мобільний,null,Inogen. США,null,9,шт.,3577.68,UAH,1788.84,UAH,1788.84,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1084,11130155,null,null,Концентратор SVEN HB-891,SVEN HB-891,SVEN. Китай,null,2,шт.,363.98,UAH,181.99,UAH,181.99,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1085,11130156,null,null,Концентратор Vinga HUBO31S,Vinga HUBO31S,Vinga. Китай,null,1,шт.,240.00,UAH,120.00,UAH,120.00,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1086,113000293,null,null,Кисневий концентратор,null,Vinga. Китай,null,4,шт.,32000.00,UAH,16000.00,UAH,16000.00,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1087,113000293,null,null,Кисневий концентратор,null,Vinga. Китай,null,20,шт.,7950.40,UAH,3975.20,UAH,3975.20,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1088,113000472,null,null,Концентратор кисневий (Oxytek OX-10A),Oxytek OX-10A,Oxytek MedikalTechnology Co..Ltd Китай,null,3,шт.,41328.75,UAH,20664.38,UAH,20664.37,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1089,330036,null,null,Лампа бактерицидна,null,Біомед. Китай,null,1,шт.,20.00,UAH,10.00,UAH,10.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1090,81280,null,null,Лампа бактерицидна,null,Біомед. Китай,null,1,шт.,342.00,UAH,171.00,UAH,171.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1091,113000087,null,null,Лампа бактерицидна ОББ-30П,ОББ-30П,BactoSfera. Україна,null,1,шт.,1000.00,UAH,500.00,UAH,500.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1093,330036,null,null,Лампы бактерицидные,null,Біомед. Китай,null,5,шт.,100.00,UAH,50.00,UAH,50.00,UAH,5,50,null,null,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1095,11300461,36746,36746,Лічильник лейк.фор-и крові С-5,С-5,ТМ «MICROmed». Україна,null,1,шт.,2223.00,UAH,1111.50,UAH,1111.50,UAH,5,50,Лабораторне обстеження хворих,4S,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1096,348806,25685,25685,Лічильник крові,null,ТМ «MICROmed». Україна,null,1,шт.,131.00,UAH,65.50,UAH,65.50,UAH,5,50,Лабораторне обстеження хворих,4S,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1099,113000536,null,null,Манжета до холтера,null,Україна,null,3,шт.,9000.00,UAH,4500.00,UAH,4500.00,UAH,5,50,Холтерівський моніторинг електрокардіограми,FH2.15,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1100,113000289,null,null,Манжета на монітор приліжковий для вимірювання артеріального тиску,null,Україна,null,5,шт.,800.00,UAH,400.00,UAH,400.00,UAH,5,50,Вимір артеріального тиску,AA1 09,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1106,231010,121305 302029,121305 302029,Микроскоп,null,Біомед. Китай,null,3,шт.,681.00,UAH,340.50,UAH,340.50,UAH,5,50,Лабораторне обстеження хворих,4S,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1107,733475,00537 891100,00537 891100,Мікpоскоп,null,Біомед. Китай,null,2,шт.,600.00,UAH,300.00,UAH,300.00,UAH,5,50,Лабораторне обстеження хворих,4S,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1109,113000618,null,null,Мішок AMBU SPUR II pediatric,AMBU SPUR II pediatric,Ambu A/S. Данія,null,20,шт.,16000.00,UAH,8000.00,UAH,8000.00,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1110,1344,null,null,Мішок дихальний « Біомед »,Біомед,Biomed. КНР,null,1,шт.,368.00,UAH,184.00,UAH,184.00,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1113,113000726,null,null,Мішок типу АМБу,null,Ambu A/S. Данія,null,2,шт.,2.00,UAH,1.00,UAH,1.00,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1114,113000764,null,null,Концентратор кисневий індивідуального використання мобільний,null,Inogen. США,null,1,шт.,397.52,UAH,198.76,UAH,198.76,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1115,113000483,null,null,Монітор вітальних функцій (пацієнта) WAvanteaveline ECO,WAvanteaveline ECO,Mindray. Китай,null,3,шт.,54300.00,UAH,27150.00,UAH,27150.00,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1116,113000605,6004421968; 6002559369; 6002988458; 6004422869; 6002980769; 6004422468; 6002521178; 6002973670,6004421968; 6002559369; 6002988458; 6004422869; 6002980769; 6004422468; 6002521178; 6002973670,Монітор вітальних функцій пацієнта Infinity Delta XL,Infinity Delta XL,«Drager Medical GmbH». Німеччина,null,8,шт.,144000.00,UAH,72000.00,UAH,72000.00,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1119,1120101641,DE694E5011,DE694E5011,Монітор пацієнта,IntelliVue X3,Philips. Німеччина,null,1,шт.,1.00,UAH,0.50,UAH,0.50,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1120,1120101642,DE694E5011,DE694E5011,Монітор пацієнта,IntelliVue X3,Philips. Німеччина,null,1,шт.,1.00,UAH,0.50,UAH,0.50,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1121,1120101643,DE694С8560,DE694С8560,Монітор пацієнта,IntelliVue X3,Philips. Німеччина,null,1,шт.,1.00,UAH,0.50,UAH,0.50,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1122,1120101644,null,null,Монітор пацієнта Philips X3 C19-KIT-RS,Philips X3 C19-KIT-RS,Philips. Польща,null,1,шт.,1.00,UAH,0.50,UAH,0.50,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1123,1120101645,DE694C3154,DE694C3154,Монітор пацієнта Philips X3 C19-KIT-RS,IntelliVue X3,Philips. Польща,null,1,шт.,1.00,UAH,0.50,UAH,0.50,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1125,113000601,К8220412170; К8220412166,К8220412170; К8220412166,Монітор пацієнта портативний,PMS8000 DUNI,Fazzini. Італія,null,3,шт.,2634.00,UAH,1317.00,UAH,1317.00,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
04350694-1133,113000475,null,null,Муфта для підключення до киснев.концентратора,null,Mindray. Китай,null,18,шт.,240.75,UAH,120.38,UAH,120.37,UAH,5,50,Анестезіологія та інтенсивна терапія,6,КНП «Київська міська дитяча клінічна лікарня №1»,04350694
