entityId,entityName,addressIdentifier,CATUTTC,addressPostCode,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,addressPostDistrict,addressThoroughfare,addressLocatorDesignator,addressLocatorDesignator2,addressLocatorBuilding,headFamilyName,headName,headAdditionalName,contactPointEmail,lat,lon,foundationDate
40504429,ОСББ «МАШБУД 32»,Некомунальна,UA80000000000980793,null,Україна,місто Київ,null,null,Київ,Солом'янський район,вул. Машинобудівна,32,null,null,Драб,Наталія,Леонідівна,null,null,null,null
41506191,ОСББ «ЖК МИКИТСЬКА СЛОБОДА»,Некомунальна,UA80000000000980793,null,Україна,місто Київ,null,null,Київ,Солом'янський район,вул. Миколи Шалімова,35-А,null,null,Славинський,Олег,Юрійович,mykytska.sloboda@gmail.com,null,null,null
35571577,ОСББ «НАШ ДОМ»,Некомунальна,UA80000000000980793,null,Україна,місто Київ,null,null,Київ,Солом'янський район,вул. Катерини Ступницької,3-А,null,null,Космін,Сергій,Миколайович,null,null,null,null
42524033,ОСББ «ЧЕМПІОН ГОЛОСІЇВО»,Некомунальна,UA80000000000980793,null,Україна,місто Київ,null,null,Київ,Солом'янський район,пров. Павла Лі,2-Е,null,null,Сосновський,Ігор,Орестович,null,null,null,null
43103766,ОСББ «МАШИНОБУДІВНА.21»,Некомунальна,UA80000000000980793,null,Україна,місто Київ,null,null,Київ,Солом'янський район,вул. Машинобудівна,21,null,null,Караванов,Дмитро,Вадимович,null,null,null,null
43141246,ОСББ «СУСІДИ 21-А»,Некомунальна,UA80000000000980793,null,Україна,місто Київ,null,null,Київ,Солом'янський район,вул. Машинобудівна,21-А,null,null,Тищенко,Наталія,Сергіївна,null,null,null,null
22893978,ОСББ «ІМПУЛЬС-1965»,Некомунальна,UA80000000000980793,null,Україна,місто Київ,null,null,Київ,Солом'янський район,вул. Миколи Шалімова,9,null,null,Бернадський,Олег,Олегович,null,null,null,null
44217043,ОСББ «ЖК КАРАВАЄВІ ДАЧІ»,Некомунальна,UA80000000000980793,null,Україна,місто Київ,null,null,Київ,Солом'янський район,вул. Польова,73,null,null,Свиридов,Максим,Васильович,null,null,null,null
43948445,ОСББ «СОВСЬКІ СТАВКИ»,Некомунальна,UA80000000000980793,null,Україна,місто Київ,null,null,Київ,Солом'янський район,вул. Володимира Брожка,70,null,null,Круглова,Поліна,Юріївна,null,null,null,null
44484616,ОСББ «ЖК МАНДАРИН»,Некомунальна,UA80000000000980793,null,Україна,місто Київ,null,null,Київ,Солом'янський район,вул. Волошкова,1,null,null,Семенюк,Ірина,Віталіївна,null,null,null,null
44484616,ОСББ «ЖК МАНДАРИН»,Некомунальна,UA80000000000980793,null,Україна,місто Київ,null,null,Київ,Солом'янський район,вул. Волошкова,5,null,null,Семенюк,Ірина,Віталіївна,null,null,null,null
44481730,ОСББ «НОТТІНГ ХІЛЛ»,Некомунальна,UA80000000000980793,null,Україна,місто Київ,null,null,Київ,Солом'янський район,вул. Олександра Пироговського,19/8,null,null,Іванов,Володимир,Олександрович,null,null,null,null
45377524,ОСББ «НАША ОСЕЛЯ 19/1»,Некомунальна,UA80000000000980793,null,Україна,місто Київ,null,null,Київ,Солом'янський район,вул. Олександра Пироговського,19,1,null,Ружинська,Тетяна,Станіславівна,null,null,null,null
45912887,ОСББ «СМАРТИ ПАРКЛЕНД»,Некомунальна,UA80000000000980793,null,Україна,місто Київ,null,null,Київ,Солом'янський район,вул. Березова,40,null,null,Атрощенко,Андрій,Борисович,osbbsmartpl@gmail.com,null,null,null
45912887,ОСББ «СМАРТИ ПАРКЛЕНД»,Некомунальна,UA80000000000980793,null,Україна,місто Київ,null,null,Київ,Солом'янський район,вул. Березова,41,null,null,Атрощенко,Андрій,Борисович,osbbsmartpl@gmail.com,null,null,null
45912887,ОСББ «СМАРТИ ПАРКЛЕНД»,Некомунальна,UA80000000000980793,null,Україна,місто Київ,null,null,Київ,Солом'янський район,вул. Березова,44,null,null,Атрощенко,Андрій,Борисович,osbbsmartpl@gmail.com,null,null,null
45912887,ОСББ «СМАРТИ ПАРКЛЕНД»,Некомунальна,UA80000000000980793,null,Україна,місто Київ,null,null,Київ,Солом'янський район,вул. Промениста,42,null,null,Атрощенко,Андрій,Борисович,osbbsmartpl@gmail.com,null,null,null
45912887,ОСББ «СМАРТИ ПАРКЛЕНД»,Некомунальна,UA80000000000980793,null,Україна,місто Київ,null,null,Київ,Солом'янський район,вул. Промениста,44,null,null,Атрощенко,Андрій,Борисович,osbbsmartpl@gmail.com,null,null,null
45912887,ОСББ «СМАРТИ ПАРКЛЕНД»,Некомунальна,UA80000000000980793,null,Україна,місто Київ,null,null,Київ,Солом'янський район,вул. Промениста,50,null,null,Атрощенко,Андрій,Борисович,osbbsmartpl@gmail.com,null,null,null
45689362,ОСББ «Сікорського.1Б»,Некомунальна,UA80000000001078669,null,Україна,місто Київ,null,null,Київ,Шевченківський район,вул. Авіаконструктора Ігоря Сікорського,1Б,null,null,Булега,Оксана,Вікторівна,null,null,null,null
40763184,ОСББ «Жилянська.120-Б»,Некомунальна,UA80000000001078669,null,Україна,місто Київ,null,null,Київ,Шевченківський район,вул. Жилянська.,120-Б,null,null,Толстенко,Андрій,Олегович,null,null,null,null
43778701,ОСББ «9V»,Некомунальна,UA80000000001078669,null,Україна,місто Київ,null,null,Київ,Шевченківський район,вул. Парково-Сирецька,9-В,null,null,Іванов,Володимир,Олександрович,null,null,null,null
45518200,ОСББ «Каторбінського.24»,Некомунальна,UA80000000001078669,null,Україна,місто Київ,null,null,Київ,Шевченківський район,вул. Каторбінського,24,null,null,Засенко,Надія,Петрівна,null,null,null,null
45765453,ОСББ «Кониського 29»,Некомунальна,UA80000000001078669,null,Україна,місто Київ,null,null,Київ,Шевченківський район,вул. Кониського,29/33,null,null,Тимошенко,Ірина,Анатоліївна,null,null,null,null
22864801,ОСББ «Печерський-ІІ»,Некомунальна,UA80000000000126643,03127,Україна,місто Київ,null,null,Київ,Голосіївський район,просп. Голосіївський,124,null,1,Оранська,Алла,Володимирівна,null,null,null,1994-12-12
22877040,ЖБК «Статистик»,Некомунальна,UA80000000000126643,03127,Україна,місто Київ,null,null,Київ,Голосіївський район,просп. Голосіївський,108/2,null,null,Стишак,Тетяна,Валентинівна,null,null,null,1979-01-19
22894883,ОСББ «Темп-5»,Некомунальна,UA80000000000126643,03127,Україна,місто Київ,null,null,Київ,Голосіївський район,просп. Голосіївський,108/3,null,null,Кисельова,Тамара,Василівна,null,null,null,1996-12-30
23697564,ОСББ «Молодіжний-7»,Некомунальна,UA80000000000126643,03039,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Голосіївський,15,null,null,Волошин,Петро,Петрович,null,null,null,1981-02-19
23731025,ЖБК «ЖК-2»,Некомунальна,UA80000000000126643,03150,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Антоновича,125,null,null,Мінчук,Тетяна,Михайлівна,null,null,null,1989-12-10
25279121,ОСББ «Супутник»,Некомунальна,UA80000000000126643,03127,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Юлії Здановської,31,null,1,Дереза,Тетяна,Павлівна,null,null,null,1997-11-20
25279121,ОСББ «Супутник»,Некомунальна,UA80000000000126643,03127,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Юлії Здановської,31,null,1,Дереза,Тетяна,Павлівна,null,null,null,1997-11-20
33690961,ОСББ «Тріумф»,Некомунальна,UA80000000000126643,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Антоновича,16-В,null,null,Коцюба,Віктор,Іванович,null,null,null,2005-07-28
37479707,ОСББ «Інвестор-Оптиміст»,Некомунальна,UA80000000000126643,03028,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Малокитаївська,63-А,null,null,Аксанюк,Катерина,Василівна,null,null,null,2010-12-30
38454746,ОСББ «Форт-1»,Некомунальна,UA80000000000126643,03022,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Васильківська,52,null,null,Гуменюк,Валентина,Геннадіївна,null,null,null,2012-11-29
39345133,ОСББ «Тарасівська 9-В»,Некомунальна,UA80000000000126643,01033,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Тарасівська,9-В,null,null,Супрун,Павло,Іванович,null,null,null,2014-08-11
40275473,ОСББ «Щаслива Гора 128»,Некомунальна,UA80000000000126643,03118,Україна,місто Київ,null,null,Київ,Голосіївський район,просп. Лобановського Валерія,128,null,null,Кавьюк,Валентина,Петрівна,null,null,null,2016-02-12
41065504,ОСББ «Скайленд 2 А»,Некомунальна,UA80000000000126643,03195,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Павла Лі,2-А,null,null,Харін,Павло,Геннадійович,null,null,null,2017-01-04
41065551,ОСББ «Скайленд 2 Б»,Некомунальна,UA80000000000126643,03195,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Павла Лі,2-Б,null,null,Гаращенко,Андрій,Валерійович,null,null,null,2017-01-04
41192330,ОСББ «Творча-4»,Некомунальна,UA80000000000126643,03189,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Творча,4,null,null,Легкоконець,Наталія,Михайлівна,null,null,null,2017-03-04
41700759,ОСББ «Успішна-28»,Некомунальна,UA80000000000126643,03189,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Успішна,28,null,null,Нетченко,Олег,Григорович,null,null,null,2017-11-02
41725422,ОСББ «Щасливе 39»,Некомунальна,UA80000000000126643,03189,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Щаслива,39/1,null,null,Гутарова,Наталія,Анатоліївна,null,null,null,2017-11-10
41954572,ОСББ «Перлина Голосіїва»,Некомунальна,UA80000000000126643,03028,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Іртишська,20,null,null,Штанько,Олег,Вікторович,null,null,null,2018-02-21
41955932,ОСББ «Науки-42»,Некомунальна,UA80000000000126643,03028,Україна,місто Київ,null,null,Київ,Голосіївський район,просп. Науки,42,null,null,Коваленко,Олександр,Володимирович,null,null,null,2018-02-22
42469177,ОСББ «Творча-57»,Некомунальна,UA80000000000126643,03189,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Творча,57,null,null,Гаврилюк,Наталія,Ярославівна,null,null,null,2018-09-12
43105831,ОСББ «Успішна-14»,Некомунальна,UA80000000000126643,03189,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Успішна,14,null,null,Зоц,Леонід,Юрійович,null,null,null,2019-07-10
43314352,ОСББ «Столичний»,Некомунальна,UA80000000000126643,03045,Україна,місто Київ,null,null,Київ,Голосіївський район,пров. Віто-Литовський,15,null,null,Сусленський,Петро,Олексійович,null,null,null,2019-10-29
43837625,ОСББ «Житловий квартал Республіка»,Некомунальна,UA80000000000126643,03191,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Братів Шеметів,7,null,null,Бабич,Світлана,Михайлівна,null,null,null,2020-09-24
43897679,ОСББ «Теремківська 3А»,Некомунальна,UA80000000000126643,03188,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Теремківська,3-А,null,null,Сидорчук,Руслан,Дмитрович,null,null,null,2020-11-03
44386758,ОСББ «Моторний 9 та 9а»,Некомунальна,UA80000000000126643,03083,Україна,місто Київ,null,null,Київ,Голосіївський район,пров. Моторний,9-А,null,null,Крутько,Володимир,Олексійович,null,null,null,2021-08-19
45187586,ОСББ «Атлантік Резиденс»,Некомунальна,UA80000000000126643,03150,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Антоновича,118,null,null,Шутова,Тетяна,Олегівна,null,null,null,2024-02-02
22876572,ЖБК «Промбудівельник-8»,Некомунальна,UA80000000000210193,02068,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Братства тарасівців,6-Б,null,null,Лаханська,Ганна,Миколаївна,null,null,null,1986-02-04
22883543,ЖБК «Молодіжний-20»,Некомунальна,UA80000000000210193,02095,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Срібнокільська,1/2,null,null,Іванніков,Роман,Вікторович,null,null,null,1999-03-22
25285251,ЖБК «Харчовик-7»,Некомунальна,UA80000000000210193,02091,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Вірменська,9,null,null,Лось,Наталія,Іванівна,null,null,null,2001-10-30
35391060,ОСББ «Дарницький будівельник»,Некомунальна,UA80000000000210193,02096,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Ново-Дарницька,3/15,null,null,Пальшин,Олександр,Юрійович,null,null,null,2007-09-06
35996138,ОСББ «Новодарницька 14»,Некомунальна,UA80000000000210193,02096,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Ново-Дарницька,14,null,null,Корольова,Ірина,Арсентіївна,null,null,null,2008-07-03
36423386,ОСББ «Новодарницька 12»,Некомунальна,UA80000000000210193,02096,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Ново-Дарницька,12,null,null,Бублик,Анатолій,Михайлович,null,null,null,2009-04-06
37688783,ОСББ «Дяченка 13»,Некомунальна,UA80000000000210193,02088,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Дяченка Івана,13,null,null,Орлова,Ірина,Аркадіївна,null,null,null,2011-05-17
37906313,ОСББ «Грін Хаус»,Некомунальна,UA80000000000210193,02072,Україна,місто Київ,null,null,Київ,Дарницький район,просп. Бажана Миколи,10-А,null,null,Захаров,Володимир,Олексійович,null,null,null,2011-10-21
37906451,ОСББ «Новодарницьке 2011»,Некомунальна,UA80000000000210193,02096,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Новодарницька,6,null,null,Депутат,Лариса,Петрівна,null,null,null,2011-10-31
39371540,ОСББ «Корона-Центр»,Некомунальна,UA80000000000210193,02095,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Срібнокільська,1-А,null,null,Трегубенко,Сергій,Миколайович,null,null,null,2014-09-01
39481304,ОСББ «Першого травня 18-а»,Некомунальна,UA80000000000210193,02088,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Першого Травня,18-А,null,null,Шокін,Дмитро,Миколайович,null,null,null,2014-11-07
40489432,ОСББ «Східна брама»,Некомунальна,UA80000000000210193,02121,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Світла,3-Д,null,null,Тищенко,Ярослав,Петрович,null,null,null,2016-05-18
40562538,ОСББ «Сузір'я-Бажана 14 А»,Некомунальна,UA80000000000210193,02072,Україна,місто Київ,null,null,Київ,Дарницький район,просп. Бажана Миколи,14-А,null,null,Пастушенко,Геннадій,Петрович,null,null,null,2016-06-11
41774684,ОСББ «Рів'єра+»,Некомунальна,UA80000000000210193,02132,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Алімпія Галика,75,null,null,Черевична,Юлія,Олегівна,null,null,null,2017-12-01
41774684,ОСББ «Рів'єра+»,Некомунальна,UA80000000000210193,02132,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Алімпія Галика,75-Г,null,null,Черевична,Юлія,Олегівна,null,null,null,2017-12-01
41774684,ОСББ «Рів'єра+»,Некомунальна,UA80000000000210193,02132,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Алімпія Галика,75-Б,null,null,Черевична,Юлія,Олегівна,null,null,null,2017-12-01
41774684,ОСББ «Рів'єра+»,Некомунальна,UA80000000000210193,02132,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Алімпія Галика,75-А,null,null,Черевична,Юлія,Олегівна,null,null,null,2017-12-01
42337908,ОСББ «Три сусіди 1»,Некомунальна,UA80000000000210193,02055,Україна,місто Київ,null,null,Київ,Дарницький район,просп. Григоренка Петра,24,null,null,Григорова,Юлія,Русланівна,null,null,null,2018-07-30
42984063,ОСББ «Дніпровська рів'єра»,Некомунальна,UA80000000000210193,02132,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Центральна,21,null,null,Катуніна,Наталія,Євгеніївна,null,null,null,2019-05-06
42984063,ОСББ «Дніпровська рів'єра»,Некомунальна,UA80000000000210193,02132,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Центральна,19,null,null,Катуніна,Наталія,Євгеніївна,null,null,null,2019-05-06
42984063,ОСББ «Дніпровська рів'єра»,Некомунальна,UA80000000000210193,02132,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Центральна,21-А,null,null,Катуніна,Наталія,Євгеніївна,null,null,null,2019-05-06
43444860,ОСББ «Світла вежа»,Некомунальна,UA80000000000210193,02121,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Світла,3-Д,null,3,Ісаєва,Наталія,Сергіївна,null,null,null,2020-01-11
43711377,ОСББ «Бізнес-центр Осокорки»,Некомунальна,UA80000000000210193,02132,Україна,місто Київ,null,null,Київ,Дарницький район,Дніпровська набережна,26-Ж,null,null,Вальчук,Микола,Дмитрович,null,null,null,2020-07-15
44464799,ОСББ «Кам'янський маєток»,Некомунальна,UA80000000000210193,02121,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Кам'янська,123-Г,null,null,Сотникова,Галина,Юріївна,null,null,null,2021-12-10
44464799,ОСББ «Кам'янський маєток»,Некомунальна,UA80000000000210193,02121,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Кам'янська,125-Б,null,null,Сотникова,Галина,Юріївна,null,null,null,2021-12-10
44464799,ОСББ «Кам'янський маєток»,Некомунальна,UA80000000000210193,02121,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Кам'янська,123,null,null,Сотникова,Галина,Юріївна,null,null,null,2021-12-10
44467648,ОСББ «Рів'єра-3»,Некомунальна,UA80000000000210193,02132,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Центральна,19,null,2,Камаєва,Віта,Петрівна,null,null,null,2022-01-20
44728269,ОСББ «Ахматової 44А»,Некомунальна,UA80000000000210193,02081,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Ахматової Анни,44-А,null,null,Ігнатьков,Олексій,Юрійович,null,null,null,2022-02-10
44872393,ОСББ «Кам'янська фортеця»,Некомунальна,UA80000000000210193,02121,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Кам'янська,127-А,null,null,Сотникова,Галина,Юріївна,null,null,null,2022-06-03
45245476,ОСББ «Теракотта»,Некомунальна,UA80000000000210193,02121,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Братів Чибінєєвих,8-Г,null,null,Тимошенко,Олег,Володимирович,null,null,null,2023-11-09
45245476,ОСББ «Теракотта»,Некомунальна,UA80000000000210193,02121,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Братів Чибінєєвих,8-А,null,null,Тимошенко,Олег,Володимирович,null,null,null,2023-11-09
45245476,ОСББ «Теракотта»,Некомунальна,UA80000000000210193,02121,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Братів Чибінєєвих,8-В,null,null,Тимошенко,Олег,Володимирович,null,null,null,2023-11-09
45245476,ОСББ «Теракотта»,Некомунальна,UA80000000000210193,02121,Україна,місто Київ,null,null,Київ,Дарницький район,вул. Братів Чибінєєвих,8-Б,null,null,Тимошенко,Олег,Володимирович,null,null,null,2023-11-09
22883282,ЖБК «Кристал-18»,Некомунальна,UA80000000000336424,02034,Україна,місто Київ,null,null,Київ,Деснянський район,вул. Бальзака Оноре Де,46,null,null,Войцеховський,Анатолій,Миколайович,null,null,null,1985-01-22
23492075,ЖБК «Восход-3»,Некомунальна,UA80000000000336424,02156,Україна,місто Київ,null,null,Київ,Деснянський район,вул. Братиславська,36/2,null,null,Дубіков,Дмитро,Дмитрович,null,null,null,1974-04-22
37589434,ОСББ «Єва»,Некомунальна,UA80000000000336424,02034,Україна,місто Київ,null,null,Київ,Деснянський район,вул. Смотрицького,68,null,null,Цап,Ганна,Вікторівна,null,null,null,2011-03-21
38343732,ОСББ «На вул. Никифора Дровняка. 7-А»,Некомунальна,UA80000000000336424,02034,Україна,місто Київ,null,null,Київ,Деснянський район,вул. Никифора Дровняка,7-А,null,null,Васильєв,Василь,Сергійович,null,null,null,2012-12-26
39678489,ОСББ «Екос-53А»,Некомунальна,UA80000000000336424,02166,Україна,місто Київ,null,null,Київ,Деснянський район,вул. Кубанської України,53-А,null,null,Голубенко,Сергій,Петрович,null,null,null,2015-03-05
41024232,ОСББ «Клубна Оселя»,Некомунальна,UA80000000000336424,02097,Україна,місто Київ,null,null,Київ,Деснянський район,вул. Милославська,31-В,null,null,Багула,Денис,Олексійович,null,null,null,2016-12-12
41493696,ОСББ «Прага»,Некомунальна,UA80000000000336424,02034,Україна,місто Київ,null,null,Київ,Деснянський район,вул. Осьмачки Тодося,23-А,null,null,Білобжицький,Сергій,Володимирович,null,null,null,2017-08-02
42687320,ОСББ «Деснянський»,Некомунальна,UA80000000000336424,02230,Україна,місто Київ,null,null,Київ,Деснянський район,вул. Смотрицького,16-Б,null,null,Малаканова,Наталія,Павлівна,null,null,null,2018-12-10
43196520,ОСББ «Район 2»,Некомунальна,UA80000000000336424,02167,Україна,місто Київ,null,null,Київ,Деснянський район,вул. Лісківська,37,null,null,Рибак,Ігор,Володимирович,null,null,null,2019-08-29
43352183,ОСББ «Славський 58»,Некомунальна,UA80000000000336424,02230,Україна,місто Київ,null,null,Київ,Деснянський район,вул. Осьмачки Тодося,58-А,null,null,Шусть,Олег,Анатолійович,null,null,null,2019-11-15
44655463,ОСББ «Пожарського 28-А»,Некомунальна,UA80000000000336424,02230,Україна,місто Київ,null,null,Київ,Деснянський район,вул. Смотрицького,28-А,null,null,Смирнова,Олена,Миколаївна,null,null,null,2021-12-10
21616567,ЖБК «Електрон»,Некомунальна,UA80000000000479391,02098,Україна,місто Київ,null,null,Київ,Дніпровський район,просп. Тичини Павла,2-А,null,null,Кононова,Сабіна,Георгіївна,null,null,null,1973-09-24
22869282,ЖБК «Експрес-1»,Некомунальна,UA80000000000479391,02098,Україна,місто Київ,null,null,Київ,Дніпровський район,просп. Тичини Павла,12-А,null,null,Шкляр,Зоя,Михайлівна,null,null,null,1973-06-25
22872976,ОСББ «Мир»,Некомунальна,UA80000000000479391,02101,Україна,місто Київ,null,null,Київ,Дніпровський район,вул. Чупринки Григорія,7,null,null,Рісо Бланко,Яна,Олександрівна,null,null,null,2001-10-26
25666527,ОСББ «Юність-98»,Некомунальна,UA80000000000479391,02192,Україна,місто Київ,null,null,Київ,Дніпровський район,вул. Юності,8/1,null,null,Косенко,Наталія,Володимирівна,null,null,null,1998-10-26
37553832,ОСББ «Новатор»,Некомунальна,UA80000000000479391,02090,Україна,місто Київ,null,null,Київ,Дніпровський район,вул. Новаторів,22-Б,null,null,Самчук,Юрій,Ростиславович,null,null,null,2011-03-30
39142762,ОСББ «Гродненський 7А»,Некомунальна,UA80000000000479391,02090,Україна,місто Київ,null,null,Київ,Дніпровський район,пров. Гроденський,7-А,null,null,Мельничук,Юрій,Іванович,null,null,null,2014-03-20
39740132,ОСББ «Садовий-25»,Некомунальна,UA80000000000479391,02002,Україна,місто Київ,null,null,Київ,Дніпровський район,вул. Дениса Рачінського,24-А,null,null,Звольський,Юрій,Анатолійович,null,null,null,2015-04-09
40695319,ОСББ «Раїси Окіпної 10-А»,Некомунальна,UA80000000000479391,02002,Україна,місто Київ,null,null,Київ,Дніпровський район,вул. Окіпної Раїси,10-А,null,null,Годік,Олександра,маратівна,null,null,null,2016-07-28
41271574,ОСББ «Мега-Сіті 19-А»,Некомунальна,UA80000000000479391,02157,Україна,місто Київ,null,null,Київ,Дніпровський район,Харківське шосе,19-А,null,null,Журбенко,Юрій,Петрович,null,null,null,2017-04-08
41271595,ОСББ «Мега-Сіті 19-Б»,Некомунальна,UA80000000000479391,02157,Україна,місто Київ,null,null,Київ,Дніпровський район,Харківське шосе,19-Б,null,null,Нікуленко,Валентина,Андріївна,null,null,null,2017-04-08
41310094,ОСББ «ЖК Перовський»,Некомунальна,UA80000000000479391,02130,Україна,місто Київ,null,null,Київ,Дніпровський район,вул. Навої Алішера,70,null,null,Денисенко,Олександр,Васильович,null,null,null,2017-04-28
41878303,ОСББ «Нова хвиля 2017»,Некомунальна,UA80000000000479391,02157,Україна,місто Київ,null,null,Київ,Дніпровський район,Харківське шосе,15-А,null,null,Матвєєва,Світлана,Петрівна,null,null,null,2018-01-19
42973989,ОСББ «Іль Патіо»,Некомунальна,UA80000000000479391,02218,Україна,місто Київ,null,null,Київ,Дніпровський район,вул. Райдужна,58,null,null,Пінчук,Олександр,Олександрович,null,null,null,2019-04-25
